# i, j, phi
1.000000000000000000e+00 5.000000000000000000e+00 5.444590482285441638e-05
1.000000000000000000e+00 6.000000000000000000e+00 6.735120702857010859e-05
1.000000000000000000e+00 7.000000000000000000e+00 7.609919043601974119e-05
1.000000000000000000e+00 8.000000000000000000e+00 8.995093561135770728e-05
1.000000000000000000e+00 9.000000000000000000e+00 9.818977970115278149e-05
1.000000000000000000e+00 1.000000000000000000e+01 1.129337912131397355e-04
1.000000000000000000e+00 1.100000000000000000e+01 1.205403655337976152e-04
1.000000000000000000e+00 1.200000000000000000e+01 1.360146195049337912e-04
1.000000000000000000e+00 1.300000000000000000e+01 1.427548168127522105e-04
1.000000000000000000e+00 1.400000000000000000e+01 1.586548238698583648e-04
1.000000000000000000e+00 1.500000000000000000e+01 1.641903256495108956e-04
1.000000000000000000e+00 1.600000000000000000e+01 1.800618221712652284e-04
1.000000000000000000e+00 1.700000000000000000e+01 1.839598750654972278e-04
1.000000000000000000e+00 1.800000000000000000e+01 1.992115366049163993e-04
1.000000000000000000e+00 1.900000000000000000e+01 2.009923853582421319e-04
1.000000000000000000e+00 2.000000000000000000e+01 2.149470512954051527e-04
1.000000000000000000e+00 2.100000000000000000e+01 2.141551954430414423e-04
1.000000000000000000e+00 2.200000000000000000e+01 2.261358791252871100e-04
1.000000000000000000e+00 2.300000000000000000e+01 2.224350360057655287e-04
1.000000000000000000e+00 2.400000000000000000e+01 2.318635407494044139e-04
1.000000000000000000e+00 2.500000000000000000e+01 2.251171738221933126e-04
1.000000000000000000e+00 2.600000000000000000e+01 2.316057115754227872e-04
1.000000000000000000e+00 2.700000000000000000e+01 2.219343424777512296e-04
1.000000000000000000e+00 2.800000000000000000e+01 2.253575322841954570e-04
1.000000000000000000e+00 2.900000000000000000e+01 2.131432318924725657e-04
1.000000000000000000e+00 3.000000000000000000e+01 2.136241577986433603e-04
1.000000000000000000e+00 3.100000000000000000e+01 1.994340025156592458e-04
1.000000000000000000e+00 3.200000000000000000e+01 1.973051763676006410e-04
1.000000000000000000e+00 3.300000000000000000e+01 1.818129299402252753e-04
1.000000000000000000e+00 3.400000000000000000e+01 1.775181470321953283e-04
1.000000000000000000e+00 3.500000000000000000e+01 1.613969439493618293e-04
1.000000000000000000e+00 3.600000000000000000e+01 1.554075434331543093e-04
1.000000000000000000e+00 3.700000000000000000e+01 1.392388824759442862e-04
1.000000000000000000e+00 3.800000000000000000e+01 1.319753710348750748e-04
1.000000000000000000e+00 3.900000000000000000e+01 1.162101207382774492e-04
1.000000000000000000e+00 4.000000000000000000e+01 1.080019172651848264e-04
1.000000000000000000e+00 4.100000000000000000e+01 9.293868393784484564e-05
1.000000000000000000e+00 4.200000000000000000e+01 8.400497599894347943e-05
1.000000000000000000e+00 4.300000000000000000e+01 6.980359143139254409e-05
1.000000000000000000e+00 4.400000000000000000e+01 6.025842896619069847e-05
1.000000000000000000e+00 4.500000000000000000e+01 4.697450449070187327e-05
1.000000000000000000e+00 4.600000000000000000e+01 3.685022578737033513e-05
1.000000000000000000e+00 4.700000000000000000e+01 2.447697835058063097e-05
1.000000000000000000e+00 4.800000000000000000e+01 1.396018681511361073e-05
1.000000000000000000e+00 4.900000000000000000e+01 0.000000000000000000e+00
2.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.000000000000000000e+00 2.348903062842253270e-05
2.000000000000000000e+00 2.000000000000000000e+00 4.272367656859568045e-05
2.000000000000000000e+00 3.000000000000000000e+00 6.223011401971267659e-05
2.000000000000000000e+00 4.000000000000000000e+00 8.213941571611799066e-05
2.000000000000000000e+00 5.000000000000000000e+00 1.019696507942321697e-04
2.000000000000000000e+00 6.000000000000000000e+00 1.223640016202605352e-04
2.000000000000000000e+00 7.000000000000000000e+00 1.425795018927297872e-04
2.000000000000000000e+00 8.000000000000000000e+00 1.634925145465532866e-04
2.000000000000000000e+00 9.000000000000000000e+00 1.840560932241442661e-04
2.000000000000000000e+00 1.000000000000000000e+01 2.053791164448597224e-04
2.000000000000000000e+00 1.100000000000000000e+01 2.260836865616011875e-04
2.000000000000000000e+00 1.200000000000000000e+01 2.475091075967193808e-04
2.000000000000000000e+00 1.300000000000000000e+01 2.679277523915573125e-04
2.000000000000000000e+00 1.400000000000000000e+01 2.889075463131462822e-04
2.000000000000000000e+00 1.500000000000000000e+01 3.083782472867401783e-04
2.000000000000000000e+00 1.600000000000000000e+01 3.281259911565768636e-04
2.000000000000000000e+00 1.700000000000000000e+01 3.457579571489269332e-04
2.000000000000000000e+00 1.800000000000000000e+01 3.632760725942397518e-04
2.000000000000000000e+00 1.900000000000000000e+01 3.780184712267904289e-04
2.000000000000000000e+00 2.000000000000000000e+01 3.922114062186467221e-04
2.000000000000000000e+00 2.100000000000000000e+01 4.029938437084815877e-04
2.000000000000000000e+00 2.200000000000000000e+01 4.128138337096829346e-04
2.000000000000000000e+00 2.300000000000000000e+01 4.187279470650745071e-04
2.000000000000000000e+00 2.400000000000000000e+01 4.233787267930643958e-04
2.000000000000000000e+00 2.500000000000000000e+01 4.238324282075327633e-04
2.000000000000000000e+00 2.600000000000000000e+01 4.229110665881416747e-04
2.000000000000000000e+00 2.700000000000000000e+01 4.177945393958387905e-04
2.000000000000000000e+00 2.800000000000000000e+01 4.114070618112690750e-04
2.000000000000000000e+00 2.900000000000000000e+01 4.011039476671482439e-04
2.000000000000000000e+00 3.000000000000000000e+01 3.898174229656852473e-04
2.000000000000000000e+00 3.100000000000000000e+01 3.751122353190189732e-04
2.000000000000000000e+00 3.200000000000000000e+01 3.598247426761871665e-04
2.000000000000000000e+00 3.300000000000000000e+01 3.417509458259895090e-04
2.000000000000000000e+00 3.400000000000000000e+01 3.235224297143853012e-04
2.000000000000000000e+00 3.500000000000000000e+01 3.031612457936270219e-04
2.000000000000000000e+00 3.600000000000000000e+01 2.830265818964923324e-04
2.000000000000000000e+00 3.700000000000000000e+01 2.613620950154212671e-04
2.000000000000000000e+00 3.800000000000000000e+01 2.401932675519102150e-04
2.000000000000000000e+00 3.900000000000000000e+01 2.179954518210322641e-04
2.000000000000000000e+00 4.000000000000000000e+01 1.964418484209189944e-04
2.000000000000000000e+00 4.100000000000000000e+01 1.742447746597514059e-04
2.000000000000000000e+00 4.200000000000000000e+01 1.527160115529909920e-04
2.000000000000000000e+00 4.300000000000000000e+01 1.308107630754272845e-04
2.000000000000000000e+00 4.400000000000000000e+01 1.095038895410918399e-04
2.000000000000000000e+00 4.500000000000000000e+01 8.799504594520045754e-05
2.000000000000000000e+00 4.600000000000000000e+01 6.693469044890014083e-05
2.000000000000000000e+00 4.700000000000000000e+01 4.575026775661442758e-05
2.000000000000000000e+00 4.800000000000000000e+01 2.449482623697374608e-05
2.000000000000000000e+00 4.900000000000000000e+01 0.000000000000000000e+00
3.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 1.000000000000000000e+00 3.323308123163743605e-05
3.000000000000000000e+00 2.000000000000000000e+00 6.223060585564002220e-05
3.000000000000000000e+00 3.000000000000000000e+00 9.093987523942935794e-05
3.000000000000000000e+00 4.000000000000000000e+00 1.198926825509825407e-04
3.000000000000000000e+00 5.000000000000000000e+00 1.490942203510900010e-04
3.000000000000000000e+00 6.000000000000000000e+00 1.787003789169537560e-04
3.000000000000000000e+00 7.000000000000000000e+00 2.085971276832172523e-04
3.000000000000000000e+00 8.000000000000000000e+00 2.389335881322113731e-04
3.000000000000000000e+00 9.000000000000000000e+00 2.694935518084613812e-04
3.000000000000000000e+00 1.000000000000000000e+01 3.004115616091837396e-04
3.000000000000000000e+00 1.100000000000000000e+01 3.313520951171584883e-04
3.000000000000000000e+00 1.200000000000000000e+01 3.624088479704255837e-04
3.000000000000000000e+00 1.300000000000000000e+01 3.931134485881520864e-04
3.000000000000000000e+00 1.400000000000000000e+01 4.235114204690675543e-04
3.000000000000000000e+00 1.500000000000000000e+01 4.530047336558208973e-04
3.000000000000000000e+00 1.600000000000000000e+01 4.815836767237455631e-04
3.000000000000000000e+00 1.700000000000000000e+01 5.085252459477259583e-04
3.000000000000000000e+00 1.800000000000000000e+01 5.337955845915436787e-04
3.000000000000000000e+00 1.900000000000000000e+01 5.565959838485806275e-04
3.000000000000000000e+00 2.000000000000000000e+01 5.769019638590390216e-04
3.000000000000000000e+00 2.100000000000000000e+01 5.939089011844833534e-04
3.000000000000000000e+00 2.200000000000000000e+01 6.076792775107840673e-04
3.000000000000000000e+00 2.300000000000000000e+01 6.174706472392372039e-04
3.000000000000000000e+00 2.400000000000000000e+01 6.234890206748424464e-04
3.000000000000000000e+00 2.500000000000000000e+01 6.251388311826948461e-04
3.000000000000000000e+00 2.600000000000000000e+01 6.228114580770043041e-04
3.000000000000000000e+00 2.700000000000000000e+01 6.161121742144651595e-04
3.000000000000000000e+00 2.800000000000000000e+01 6.056331657346028605e-04
3.000000000000000000e+00 2.900000000000000000e+01 5.911626350978226420e-04
3.000000000000000000e+00 3.000000000000000000e+01 5.734247692044428749e-04
3.000000000000000000e+00 3.100000000000000000e+01 5.523665290265605040e-04
3.000000000000000000e+00 3.200000000000000000e+01 5.287838444476218635e-04
3.000000000000000000e+00 3.300000000000000000e+01 5.026960061068732125e-04
3.000000000000000000e+00 3.400000000000000000e+01 4.748934450405075335e-04
3.000000000000000000e+00 3.500000000000000000e+01 4.454162424510414134e-04
3.000000000000000000e+00 3.600000000000000000e+01 4.149683723544328115e-04
3.000000000000000000e+00 3.700000000000000000e+01 3.835613489831398945e-04
3.000000000000000000e+00 3.800000000000000000e+01 3.517767592893809229e-04
3.000000000000000000e+00 3.900000000000000000e+01 3.195784885090046734e-04
3.000000000000000000e+00 4.000000000000000000e+01 2.874173795409425548e-04
3.000000000000000000e+00 4.100000000000000000e+01 2.552039582052958327e-04
3.000000000000000000e+00 4.200000000000000000e+01 2.232545774219721216e-04
3.000000000000000000e+00 4.300000000000000000e+01 1.914484946485273120e-04
3.000000000000000000e+00 4.400000000000000000e+01 1.599813903920535216e-04
3.000000000000000000e+00 4.500000000000000000e+01 1.287178158389047688e-04
3.000000000000000000e+00 4.600000000000000000e+01 9.775751961608151889e-05
3.000000000000000000e+00 4.700000000000000000e+01 6.701323473015544183e-05
3.000000000000000000e+00 4.800000000000000000e+01 3.691931760937117293e-05
3.000000000000000000e+00 4.900000000000000000e+01 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 1.000000000000000000e+00 4.522457715923926442e-05
4.000000000000000000e+00 2.000000000000000000e+00 8.213939008487067619e-05
4.000000000000000000e+00 3.000000000000000000e+00 1.198927154890055367e-04
4.000000000000000000e+00 4.000000000000000000e+00 1.580385840249142794e-04
4.000000000000000000e+00 5.000000000000000000e+00 1.966454969712567210e-04
4.000000000000000000e+00 6.000000000000000000e+00 2.357195121751742178e-04
4.000000000000000000e+00 7.000000000000000000e+00 2.753532413116420463e-04
4.000000000000000000e+00 8.000000000000000000e+00 3.154801878689024366e-04
4.000000000000000000e+00 9.000000000000000000e+00 3.561323026484988167e-04
4.000000000000000000e+00 1.000000000000000000e+01 3.971429969219879004e-04
4.000000000000000000e+00 1.100000000000000000e+01 4.384627018616819773e-04
4.000000000000000000e+00 1.200000000000000000e+01 4.797998690513946953e-04
4.000000000000000000e+00 1.300000000000000000e+01 5.209901558256264205e-04
4.000000000000000000e+00 1.400000000000000000e+01 5.616022444167945507e-04
4.000000000000000000e+00 1.500000000000000000e+01 6.013586212763359033e-04
4.000000000000000000e+00 1.600000000000000000e+01 6.396870763897444679e-04
4.000000000000000000e+00 1.700000000000000000e+01 6.762000276569324732e-04
4.000000000000000000e+00 1.800000000000000000e+01 7.102104850905329196e-04
4.000000000000000000e+00 1.900000000000000000e+01 7.412779628175987989e-04
4.000000000000000000e+00 2.000000000000000000e+01 7.686843560648444398e-04
4.000000000000000000e+00 2.100000000000000000e+01 7.919982501560723183e-04
4.000000000000000000e+00 2.200000000000000000e+01 8.105753421898329036e-04
4.000000000000000000e+00 2.300000000000000000e+01 8.241245038861259387e-04
4.000000000000000000e+00 2.400000000000000000e+01 8.321628292782267148e-04
4.000000000000000000e+00 2.500000000000000000e+01 8.346177657214558145e-04
4.000000000000000000e+00 2.600000000000000000e+01 8.312745383159552987e-04
4.000000000000000000e+00 2.700000000000000000e+01 8.223483672348409334e-04
4.000000000000000000e+00 2.800000000000000000e+01 8.078999179764105414e-04
4.000000000000000000e+00 2.900000000000000000e+01 7.883974859043139981e-04
4.000000000000000000e+00 3.000000000000000000e+01 7.641325092566373430e-04
4.000000000000000000e+00 3.100000000000000000e+01 7.357413499030677172e-04
4.000000000000000000e+00 3.200000000000000000e+01 7.036489348738577667e-04
4.000000000000000000e+00 3.300000000000000000e+01 6.685655658589941897e-04
4.000000000000000000e+00 3.400000000000000000e+01 6.309313881930245400e-04
4.000000000000000000e+00 3.500000000000000000e+01 5.914179125477130733e-04
4.000000000000000000e+00 3.600000000000000000e+01 5.504115305272626367e-04
4.000000000000000000e+00 3.700000000000000000e+01 5.084694140452650874e-04
4.000000000000000000e+00 3.800000000000000000e+01 4.658669872348683463e-04
4.000000000000000000e+00 3.900000000000000000e+01 4.230256609757708031e-04
4.000000000000000000e+00 4.000000000000000000e+01 3.801058804840713344e-04
4.000000000000000000e+00 4.100000000000000000e+01 3.373832540633530026e-04
4.000000000000000000e+00 4.200000000000000000e+01 2.949104683450883588e-04
4.000000000000000000e+00 4.300000000000000000e+01 2.528390567353796690e-04
4.000000000000000000e+00 4.400000000000000000e+01 2.111400580335767653e-04
4.000000000000000000e+00 4.500000000000000000e+01 1.698671838664046914e-04
4.000000000000000000e+00 4.600000000000000000e+01 1.289249919581302885e-04
4.000000000000000000e+00 4.700000000000000000e+01 8.824011760743643955e-05
4.000000000000000000e+00 4.800000000000000000e+01 4.713872874547509931e-05
4.000000000000000000e+00 4.900000000000000000e+01 0.000000000000000000e+00
5.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 1.000000000000000000e+00 5.444620878382727669e-05
5.000000000000000000e+00 2.000000000000000000e+00 1.019700453298676954e-04
5.000000000000000000e+00 3.000000000000000000e+00 1.490943245429157140e-04
5.000000000000000000e+00 4.000000000000000000e+00 1.966458351682114829e-04
5.000000000000000000e+00 5.000000000000000000e+00 2.447469785594511937e-04
5.000000000000000000e+00 6.000000000000000000e+00 2.935683971603060181e-04
5.000000000000000000e+00 7.000000000000000000e+00 3.430798404839372081e-04
5.000000000000000000e+00 8.000000000000000000e+00 3.933883148546144892e-04
5.000000000000000000e+00 9.000000000000000000e+00 4.443560599030841468e-04
5.000000000000000000e+00 1.000000000000000000e+01 4.959967869588682550e-04
5.000000000000000000e+00 1.100000000000000000e+01 5.480274981515825686e-04
5.000000000000000000e+00 1.200000000000000000e+01 6.003440716635069941e-04
5.000000000000000000e+00 1.300000000000000000e+01 6.524742636178195235e-04
5.000000000000000000e+00 1.400000000000000000e+01 7.041647352803348438e-04
5.000000000000000000e+00 1.500000000000000000e+01 7.547590322403688236e-04
5.000000000000000000e+00 1.600000000000000000e+01 8.038382296640889319e-04
5.000000000000000000e+00 1.700000000000000000e+01 8.505600360105527091e-04
5.000000000000000000e+00 1.800000000000000000e+01 8.943852160236024718e-04
5.000000000000000000e+00 1.900000000000000000e+01 9.343504219480240711e-04
5.000000000000000000e+00 2.000000000000000000e+01 9.698665763293346257e-04
5.000000000000000000e+00 2.100000000000000000e+01 9.999838028565183248e-04
5.000000000000000000e+00 2.200000000000000000e+01 1.024206699064537755e-03
5.000000000000000000e+00 2.300000000000000000e+01 1.041731545635793659e-03
5.000000000000000000e+00 2.400000000000000000e+01 1.052310618535362563e-03
5.000000000000000000e+00 2.500000000000000000e+01 1.055438251510094558e-03
5.000000000000000000e+00 2.600000000000000000e+01 1.051217971108629615e-03
5.000000000000000000e+00 2.700000000000000000e+01 1.039541778522597680e-03
5.000000000000000000e+00 2.800000000000000000e+01 1.020903713156256143e-03
5.000000000000000000e+00 2.900000000000000000e+01 9.955458281307298131e-04
5.000000000000000000e+00 3.000000000000000000e+01 9.642518799080015577e-04
5.000000000000000000e+00 3.100000000000000000e+01 9.275184861595966350e-04
5.000000000000000000e+00 3.200000000000000000e+01 8.862902828852554492e-04
5.000000000000000000e+00 3.300000000000000000e+01 8.411460215473701976e-04
5.000000000000000000e+00 3.400000000000000000e+01 7.930319817719016541e-04
5.000000000000000000e+00 3.500000000000000000e+01 7.424934928554383128e-04
5.000000000000000000e+00 3.600000000000000000e+01 6.903518052763991291e-04
5.000000000000000000e+00 3.700000000000000000e+01 6.370180712123135443e-04
5.000000000000000000e+00 3.800000000000000000e+01 5.831346376085022555e-04
5.000000000000000000e+00 3.900000000000000000e+01 5.289588718285149257e-04
5.000000000000000000e+00 4.000000000000000000e+01 4.749394199026356800e-04
5.000000000000000000e+00 4.100000000000000000e+01 4.211770926520539532e-04
5.000000000000000000e+00 4.200000000000000000e+01 3.679422538504577528e-04
5.000000000000000000e+00 4.300000000000000000e+01 3.152187615165786129e-04
5.000000000000000000e+00 4.400000000000000000e+01 2.631307059342190497e-04
5.000000000000000000e+00 4.500000000000000000e+01 2.115745812048133799e-04
5.000000000000000000e+00 4.600000000000000000e+01 1.605686358058377322e-04
5.000000000000000000e+00 4.700000000000000000e+01 1.100348175463717844e-04
5.000000000000000000e+00 4.800000000000000000e+01 6.059319750741516122e-05
5.000000000000000000e+00 4.900000000000000000e+01 0.000000000000000000e+00
6.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 1.000000000000000000e+00 6.735130441855401693e-05
6.000000000000000000e+00 2.000000000000000000e+00 1.223637814427569459e-04
6.000000000000000000e+00 3.000000000000000000e+00 1.787007677327259237e-04
6.000000000000000000e+00 4.000000000000000000e+00 2.357196405485984404e-04
6.000000000000000000e+00 5.000000000000000000e+00 2.935690763007207677e-04
6.000000000000000000e+00 6.000000000000000000e+00 3.522840093947091490e-04
6.000000000000000000e+00 7.000000000000000000e+00 4.120480194341111495e-04
6.000000000000000000e+00 8.000000000000000000e+00 4.727898281691613846e-04
6.000000000000000000e+00 9.000000000000000000e+00 5.346031929336737343e-04
6.000000000000000000e+00 1.000000000000000000e+01 5.972606293342052567e-04
6.000000000000000000e+00 1.100000000000000000e+01 6.607251326263806086e-04
6.000000000000000000e+00 1.200000000000000000e+01 7.245737872344739554e-04
6.000000000000000000e+00 1.300000000000000000e+01 7.885817993574006967e-04
6.000000000000000000e+00 1.400000000000000000e+01 8.520866135602055179e-04
6.000000000000000000e+00 1.500000000000000000e+01 9.146572764449314346e-04
6.000000000000000000e+00 1.600000000000000000e+01 9.753800421183905648e-04
6.000000000000000000e+00 1.700000000000000000e+01 1.033605701861694788e-03
6.000000000000000000e+00 1.800000000000000000e+01 1.088199630633948471e-03
6.000000000000000000e+00 1.900000000000000000e+01 1.138377068567877600e-03
6.000000000000000000e+00 2.000000000000000000e+01 1.182903809813700595e-03
6.000000000000000000e+00 2.100000000000000000e+01 1.220988404211448492e-03
6.000000000000000000e+00 2.200000000000000000e+01 1.251482852592450791e-03
6.000000000000000000e+00 2.300000000000000000e+01 1.273816410891405850e-03
6.000000000000000000e+00 2.400000000000000000e+01 1.287130599095825294e-03
6.000000000000000000e+00 2.500000000000000000e+01 1.291258451850320387e-03
6.000000000000000000e+00 2.600000000000000000e+01 1.285831262500957469e-03
6.000000000000000000e+00 2.700000000000000000e+01 1.271217953034518540e-03
6.000000000000000000e+00 2.800000000000000000e+01 1.247567850154498656e-03
6.000000000000000000e+00 2.900000000000000000e+01 1.215720770841261910e-03
6.000000000000000000e+00 3.000000000000000000e+01 1.176246688051939141e-03
6.000000000000000000e+00 3.100000000000000000e+01 1.130277288973758178e-03
6.000000000000000000e+00 3.200000000000000000e+01 1.078596887380115161e-03
6.000000000000000000e+00 3.300000000000000000e+01 1.022429560677539165e-03
6.000000000000000000e+00 3.400000000000000000e+01 9.625577111045720974e-04
6.000000000000000000e+00 3.500000000000000000e+01 9.000953887861144753e-04
6.000000000000000000e+00 3.600000000000000000e+01 8.356859345602413343e-04
6.000000000000000000e+00 3.700000000000000000e+01 7.702209887968144552e-04
6.000000000000000000e+00 3.800000000000000000e+01 7.041282405441860693e-04
6.000000000000000000e+00 3.900000000000000000e+01 6.380554405866173222e-04
6.000000000000000000e+00 4.000000000000000000e+01 5.722212421427186725e-04
6.000000000000000000e+00 4.100000000000000000e+01 5.070199581968065595e-04
6.000000000000000000e+00 4.200000000000000000e+01 4.425007308628246014e-04
6.000000000000000000e+00 4.300000000000000000e+01 3.788612252218633253e-04
6.000000000000000000e+00 4.400000000000000000e+01 3.160074484888696707e-04
6.000000000000000000e+00 4.500000000000000000e+01 2.539932923985853712e-04
6.000000000000000000e+00 4.600000000000000000e+01 1.926307007636732216e-04
6.000000000000000000e+00 4.700000000000000000e+01 1.317715401519866790e-04
6.000000000000000000e+00 4.800000000000000000e+01 7.036598392400791034e-05
6.000000000000000000e+00 4.900000000000000000e+01 0.000000000000000000e+00
7.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 1.000000000000000000e+00 7.609961090751266467e-05
7.000000000000000000e+00 2.000000000000000000e+00 1.425798249689591579e-04
7.000000000000000000e+00 3.000000000000000000e+00 2.085974272696439907e-04
7.000000000000000000e+00 4.000000000000000000e+00 2.753541738976184256e-04
7.000000000000000000e+00 5.000000000000000000e+00 3.430805611846048640e-04
7.000000000000000000e+00 6.000000000000000000e+00 4.120479995483608765e-04
7.000000000000000000e+00 7.000000000000000000e+00 4.822853046277349241e-04
7.000000000000000000e+00 8.000000000000000000e+00 5.539765693126336805e-04
7.000000000000000000e+00 9.000000000000000000e+00 6.270111067033786812e-04
7.000000000000000000e+00 1.000000000000000000e+01 7.014227629547502068e-04
7.000000000000000000e+00 1.100000000000000000e+01 7.768957104408562037e-04
7.000000000000000000e+00 1.200000000000000000e+01 8.532797772655931158e-04
7.000000000000000000e+00 1.300000000000000000e+01 9.299753970121089376e-04
7.000000000000000000e+00 1.400000000000000000e+01 1.006577938294337012e-03
7.000000000000000000e+00 1.500000000000000000e+01 1.082180020306165681e-03
7.000000000000000000e+00 1.600000000000000000e+01 1.156082130996876874e-03
7.000000000000000000e+00 1.700000000000000000e+01 1.227047289674333772e-03
7.000000000000000000e+00 1.800000000000000000e+01 1.294107463676412656e-03
7.000000000000000000e+00 1.900000000000000000e+01 1.355780758404059394e-03
7.000000000000000000e+00 2.000000000000000000e+01 1.410949779619538949e-03
7.000000000000000000e+00 2.100000000000000000e+01 1.458092235523464689e-03
7.000000000000000000e+00 2.200000000000000000e+01 1.496190565182246813e-03
7.000000000000000000e+00 2.300000000000000000e+01 1.523945357911773643e-03
7.000000000000000000e+00 2.400000000000000000e+01 1.540754180852879412e-03
7.000000000000000000e+00 2.500000000000000000e+01 1.545845451314816583e-03
7.000000000000000000e+00 2.600000000000000000e+01 1.539260203537557662e-03
7.000000000000000000e+00 2.700000000000000000e+01 1.520950594703337003e-03
7.000000000000000000e+00 2.800000000000000000e+01 1.491669971818241486e-03
7.000000000000000000e+00 2.900000000000000000e+01 1.452015620583494608e-03
7.000000000000000000e+00 3.000000000000000000e+01 1.403263422096577388e-03
7.000000000000000000e+00 3.100000000000000000e+01 1.346427170096412950e-03
7.000000000000000000e+00 3.200000000000000000e+01 1.283021769164158438e-03
7.000000000000000000e+00 3.300000000000000000e+01 1.214150844689469841e-03
7.000000000000000000e+00 3.400000000000000000e+01 1.141275182473270406e-03
7.000000000000000000e+00 3.500000000000000000e+01 1.065363592800135095e-03
7.000000000000000000e+00 3.600000000000000000e+01 9.876274402638215294e-04
7.000000000000000000e+00 3.700000000000000000e+01 9.087561882104676489e-04
